minute,timestamp,model,accuracy,precision,recall,f1_score,roc_auc
5,2025-08-25T21:58:41.134252,Gradient Boosting,0.6974000881326057,0.7533015203639996,0.7518413911502464,0.7525707475262619,0.7790607302863624
5,2025-08-25T21:59:11.705175,Random Forest,0.6983153113453782,0.7564554976754607,0.7479093980173894,0.7521581732108048,0.7784739127680207
5,2025-08-25T21:59:12.994349,Logistic Regression,0.689908816650283,0.7441223214775031,0.7519521515201861,0.748016747465844,0.7697308797878915
5,2025-08-25T21:59:13.616420,"Support Vector Machine (linear, 5% data)",0.5525423728813559,0.6197183098591549,0.7213114754098361,0.6666666666666666,0.415739656518345
5,2025-08-25T22:00:32.810447,Neural Network (MLP),0.6972983966645199,0.7588338721569962,0.7409314947111924,0.7497758350145707,0.777660907069359
5,2025-08-26T14:27:14.825725,K-Nearest Neighbors,0.6544523914443579,0.7176066862235014,0.7180040981336878,0.7178053371719633,0.7223889951036058
10,2025-08-25T22:01:57.937927,Gradient Boosting,0.7531270126436392,0.7966409691629956,0.801185135958354,0.7989065908275119,0.8401422215800882
10,2025-08-25T22:02:26.301829,Random Forest,0.749500016948578,0.79261535085313,0.8000775322589577,0.7963289604233271,0.8380324973674087
10,2025-08-25T22:02:27.186633,Logistic Regression,0.7239754584590353,0.7689344618055556,0.7849033615772276,0.7768368549425855,0.8102646456635041
10,2025-08-25T22:02:27.242683,"Support Vector Machine (linear, 5% data)",0.6067796610169491,0.6515837104072398,0.7868852459016393,0.7128712871287128,0.6467115534738486
10,2025-08-25T22:03:40.877450,Neural Network (MLP),0.7477373648350903,0.7844166979261562,0.8106551475881929,0.797320115474699,0.8356428041560187
10,2025-08-26T14:27:46.545436,K-Nearest Neighbors,0.7072302633809023,0.7603360601370771,0.7618098244448136,0.761072228830673,0.7818746839133841
15,2025-08-25T22:05:11.667927,Gradient Boosting,0.8014304599844073,0.8386165547104869,0.8365730741540677,0.8375935680621015,0.8895346514940059
15,2025-08-25T22:05:42.833400,Random Forest,0.7968204467645165,0.8326989905675989,0.8360192723043695,0.8343558282208589,0.8863681500484399
15,2025-08-25T22:05:44.526942,Logistic Regression,0.763635131012508,0.8016875340228634,0.8155839840505067,0.8085760562220331,0.8528340253146484
15,2025-08-25T22:05:44.598006,"Support Vector Machine (linear, 5% data)",0.5220338983050847,0.6117021276595744,0.6284153005464481,0.6199460916442049,0.4413056206088992
15,2025-08-25T22:06:37.586441,Neural Network (MLP),0.7946510287786854,0.8249823953198635,0.8434402170903251,0.8341092064187524,0.8832799667533062
15,2025-08-26T14:28:13.387593,K-Nearest Neighbors,0.7613979187146198,0.8045665634674922,0.8059478318657585,0.8052566053396044,0.8371953801892285
20,2025-08-25T22:08:07.223310,Gradient Boosting,0.8287563675360987,0.8613406224762378,0.860966219572777,0.8611533803298034,0.9153510862551832
20,2025-08-25T22:08:33.007744,Random Forest,0.8244666590064729,0.8553013014247826,0.8610904123199206,0.8581860940062506,0.9128932708260872
20,2025-08-25T22:08:34.182813,Logistic Regression,0.8008349611245165,0.833088954056696,0.8467461500248386,0.8398620349839861,0.8861266150332683
20,2025-08-25T22:08:34.270891,"Support Vector Machine (linear, 5% data)",0.4942528735632184,0.564935064935065,0.5723684210526315,0.5686274509803921,0.494507484307098
20,2025-08-25T22:09:08.652144,Neural Network (MLP),0.8105634072542035,0.8821756404986985,0.7996770988574268,0.8389030030616897,0.8976562017054066
20,2025-08-26T14:28:32.894188,K-Nearest Neighbors,0.7949749128652955,0.8328276886880069,0.8352583209140586,0.8340412339172222,0.8701436849881071
