minute,model,gold_diff,xp_diff,cs_diff,monster_diff,tower_diff
5,Gradient Boosting,0.2260418498594394,0.7445703109655423,0.0290568074430704,2.681570361068725e-05,0.0003042160283372
5,Random Forest,0.4554837550495257,0.4400516221810666,0.103845774727401,8.676424482382556e-06,0.0006101716175241
5,Logistic Regression,0.0274019882461212,0.0204269822441424,0.92729958623985,0.0067297720205433,0.0181416712493427
5,"Support Vector Machine (linear, 5% data)",0.0003590983730882,0.0367983408359596,0.9628425607909522,0.0,0.0
5,Neural Network (MLP),0.2793234000977039,0.7008549096238397,0.01980947728383,0.0,1.2212994626293244e-05
5,K-Nearest Neighbors,0.150053670463355,0.8321754427813225,0.0177857952173655,0.0,-1.490846204297126e-05
10,Gradient Boosting,0.5345192000568307,0.376810740146297,0.0478694980845583,0.0399202660632817,0.0008802956490321
10,Random Forest,0.4721062931345621,0.363418730889775,0.1188502681327452,0.0440816090989385,0.0015430987439791
10,Logistic Regression,0.0004930580678216,0.0004355763308421,0.0259539351468555,0.170438561626122,0.8026788688283586
10,"Support Vector Machine (linear, 5% data)",0.1189035789254725,0.1255099360146477,0.4319008048254425,0.2167145941984045,0.1069710860360326
10,Neural Network (MLP),0.3307800846603507,0.6448933258362595,0.012571743812262,0.0084872532065903,0.0032675924845373
10,K-Nearest Neighbors,0.2907941152180838,0.6991894857304656,0.0093203242057078,0.0007078727244841,-1.1797878741451452e-05
15,Gradient Boosting,0.2478576210839053,0.2732743915330907,0.1259411778507085,0.039836130659276,0.3130906788730193
15,Random Forest,0.3567481294052047,0.2936441593903322,0.0961778344967608,0.0135000775983112,0.2399297991093911
15,Logistic Regression,0.0001448254379036,0.0001794738038039,0.0202399689834455,0.1612144780131741,0.8182212537616727
15,"Support Vector Machine (linear, 5% data)",0.0183202289399116,0.0583581511650672,0.1353795387251889,0.3193436448321043,0.4685984363377278
15,Neural Network (MLP),0.2884132041447486,0.6555822362581406,0.0292356134433366,0.0152952058826276,0.0114737402711464
15,K-Nearest Neighbors,0.3732832251451999,0.6186734345258432,0.007828590951242,7.80906828053495e-05,0.0001366586949093
20,Gradient Boosting,0.1498249860173675,0.2110151314276014,0.0075360275660538,0.0383183015681557,0.5933055534208216
20,Random Forest,0.3095580114859609,0.2651125018825394,0.0726357613655157,0.0198559668660498,0.3328377583999341
20,Logistic Regression,0.000122597731086,1.1028920463718972e-05,0.0124187372717533,0.1878692810705264,0.7995783550061705
20,"Support Vector Machine (linear, 5% data)",0.1037030147627377,0.044746185638178,0.6242300363875586,0.123380489285455,0.1039402739260704
20,Neural Network (MLP),0.4115950435861491,0.430769726559353,0.0361096340697055,0.0472277275583699,0.0742978682264222
20,K-Nearest Neighbors,0.365468485512297,0.6335059245245441,0.0011649905406752516,9.9571841083455e-05,-0.00023897241859991103
