minute,timestamp,model,accuracy,precision,recall,f1_score,roc_auc
5,2025-08-12T16:28:36.582413,Gradient Boosting,0.6957210253703277,0.7523661836265441,0.7539384846211553,0.7531515135294276,0.7777046423962048
5,2025-08-12T16:28:58.477982,Random Forest,0.6947972683184322,0.752454530822469,0.7515271675061622,0.7519905632556768,0.7762825055625593
5,2025-08-12T16:28:59.093542,Logistic Regression,0.6872092639635776,0.7455469376838727,0.7468652877505091,0.7462055304226785,0.7677744046953204
5,2025-08-12T16:29:56.649591,Neural Network (MLP),0.6955560687539177,0.7576750792090026,0.7432215196656307,0.7503787059078122,0.7773413451961276
5,2025-08-26T15:59:09.582650,K-Nearest Neighbors,0.6544862886003864,0.7176464076165172,0.7180040981336878,0.7178252083160314,0.7223803715900077
10,2025-08-12T16:31:07.183167,Gradient Boosting,0.747948300495066,0.7942718184274521,0.7954754559722899,0.79487318154778,0.8349747353014685
10,2025-08-12T16:31:28.396241,Random Forest,0.7457553909027478,0.7922674010475728,0.794068301131136,0.7931668288463618,0.8335012957915675
10,2025-08-12T16:31:29.062384,Logistic Regression,0.7078778615808885,0.7596375529462227,0.7667911457487687,0.7631975867269984,0.794459916999662
10,2025-08-12T16:31:55.488019,Neural Network (MLP),0.7389440808053959,0.79000546149645,0.7828651837419495,0.786419115448392,0.82871908388314
10,2025-08-26T15:59:19.022970,K-Nearest Neighbors,0.7067557031965018,0.7598342541436464,0.7616436838899042,0.7607378930774124,0.7812870945373438
15,2025-08-12T16:33:10.133072,Gradient Boosting,0.7950916918070574,0.8344097995545657,0.8299274519576896,0.8321625898881084,0.8840204783187156
15,2025-08-12T16:33:31.675913,Random Forest,0.7958713263957155,0.833953049558799,0.8321980395414521,0.833074620246147,0.8832760639117144
15,2025-08-12T16:33:32.157403,Logistic Regression,0.7293312091115556,0.7709566340256107,0.7935426704325192,0.7820866195453429,0.8207498606736363
15,2025-08-12T16:34:41.105597,Neural Network (MLP),0.7933968340056269,0.83623791319991,0.8237802514260397,0.8299623378434928,0.88342258621515
15,2025-08-26T15:59:27.877078,K-Nearest Neighbors,0.7613301244025626,0.8043766578249337,0.8061139724206678,0.805244378059912,0.837197330400216
20,2025-08-12T16:35:52.442057,Gradient Boosting,0.8196024359416293,0.8535435025443714,0.854073522106309,0.8538084300701472,0.9095044535606016
20,2025-08-12T16:36:11.129166,Random Forest,0.8205982611360068,0.8550553413754508,0.8538872329855937,0.854470887963711,0.9081877652827832
20,2025-08-12T16:36:11.602878,Logistic Regression,0.7344210808533456,0.7744194397893225,0.8034649776453056,0.788674875045715,0.8253147829959834
20,2025-08-12T16:37:18.947264,Neural Network (MLP),0.8196024359416293,0.8712368043789913,0.8302285146547441,0.8502384737678855,0.905242550731589
20,2025-08-26T15:59:34.865835,K-Nearest Neighbors,0.7945153012371213,0.8324973682580965,0.8348236462990561,0.8336588844448578,0.8699746934779008
